subject_id,session_id,protocol_version,protocol,timestamp,heart_rate_bpm,eda_microsiemens,movement_mean_g,movement_variability_g,available_signal_count,complete_second
S01,S01,V1,STRESS,2013-02-20 17:55:19+00:00,,0.0032032500000000004,0.960334310839513,0.00926433058307018,2,False
S01,S01,V1,STRESS,2013-02-20 17:55:20+00:00,,0.0060865,0.960417465284414,0.0074054111714558874,2,False
S01,S01,V1,STRESS,2013-02-20 17:55:21+00:00,,0.005766,0.9642540329746393,0.015141294527034067,2,False
S01,S01,V1,STRESS,2013-02-20 17:55:22+00:00,,0.00640675,0.9991013182148913,0.07615862970726286,2,False
S01,S01,V1,STRESS,2013-02-20 17:55:23+00:00,,0.005766,1.0058033273610087,0.12383778724602611,2,False
S01,S01,V1,STRESS,2013-02-20 17:55:24+00:00,,0.005766,1.0217277390672184,0.16207210404371755,2,False
S01,S01,V1,STRESS,2013-02-20 17:55:25+00:00,,0.0060862500000000005,1.0127224381454658,0.1523627806611253,2,False
S01,S01,V1,STRESS,2013-02-20 17:55:26+00:00,,0.0051252500000000005,1.0569580679728776,0.16827604879169883,2,False
S01,S01,V1,STRESS,2013-02-20 17:55:27+00:00,,0.005766,1.014867773120473,0.09597202610030908,2,False
S01,S01,V1,STRESS,2013-02-20 17:55:28+00:00,,0.010571,1.0726907899241278,0.23669828920790553,2,False
S01,S01,V1,STRESS,2013-02-20 17:55:29+00:00,59.0,0.017618250000000002,1.0191941117770489,0.05485573288996714,3,True
S01,S01,V1,STRESS,2013-02-20 17:55:30+00:00,79.5,0.00800825,0.9982911624977496,0.05588611237540538,3,True
S01,S01,V1,STRESS,2013-02-20 17:55:31+00:00,108.67,0.135821,1.014062466680639,0.047764482241070626,3,True
S01,S01,V1,STRESS,2013-02-20 17:55:32+00:00,101.25,0.6237545,1.0334756699324612,0.07896085193652805,3,True
S01,S01,V1,STRESS,2013-02-20 17:55:33+00:00,94.8,0.491406,1.014152631699094,0.035355248798013425,3,True
